kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
item,Alumni Research Fellows,"Dr. Heba El-Fiki, Research Fellow, Contextually-aware Swarm Guidance, 2017-2021. Works for UNSW Canberra.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,106,list
item,Alumni Research Fellows,"Dr. Mohammed Hossny, Senior Data Science Fellow, Data Science and AI Project, 2021. Works for UNSW Canberra.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,107,list
item,Alumni Research Fellows,"Ms. Josephine Plested, Research Associate, Data Science and AI Project, 2021. Works for UNSW Canberra.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,108,list
item,Alumni Research Fellows,"Dr. Min Wang, Research Associate, User-task co-adaptation for effective interactive simulation environments, 2019-2021. Works for UNSW Canberra.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,109,list
item,Alumni Research Fellows,"Dr. John Warmenhoven, Research Fellow, Data Science and AI Project, 2021. Works for Uni of Canberra.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,110,list
item,Alumni Research Fellows,"Dr. Raul Fernandez Rojas, Research Associate, Human Performance, 2018-2019. Works for Uni of Canberra.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,111,list
item,Alumni Research Fellows,"Dr. Jiangjun Tang, Research Associate, Human Performance, 1-January-2014 to 31-February-2018. Works for Australian Government.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,112,list
item,Alumni Research Fellows,"Dr. Tauseef Gulrez, Research Associate, User-task co-adaptation for effective interactive simulation environments, 30-May-2016 to 06-April-2017. Works for Australian Government.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,113,list
item,Alumni Research Fellows,"Dr. George Leu, Research Associate, Computational Red Teaming, 17-February-2014 to 16-February-2017. Works for Australian Government.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,114,list
item,Alumni Research Fellows,"Dr. Ayman Ghoneim, Research Associate, Risk Assessment for Air Traffic Management, 3-January-2013 to 1-August-2014. Works for Cairo University.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,115,list
item,Alumni Research Fellows,"Mr. William Zhao, Research Associate, Air Traffic Management, 18-February-2013 to 17-February-2014. Works for Airservices.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,116,list
item,Alumni Research Fellows,"Mr. Rubai Amin, Research Associate, Air Traffic Management, 15-June-2012 to 14-June-2013. Works for Airservices.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,117,list
item,Alumni Research Fellows,"Dr. Deborah Tucek, Senior Research Associate, Linguistics, 15-March-2011 to 15-March-2013. Works for BSTTech Consulting Pty Ltd.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,118,list
item,Alumni Research Fellows,"Dr. Murray Mount, Senior Research Associate, Neuro-science, 15-March-2011 to 15-March-2013. Freelancer.",,,,Alumni Research Fellows,,,,Team,Alumni Research Fellows,119,list
